                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1284,                 1.1937,                 1.5896,                0.66903,                0.59885,                0.70232,                0.44096,                 1.2787,                 1.1491,                   1.82,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.1209,                 1.1834,                 1.5833,                0.66054,                 0.6673,                0.70947,                0.45781,                 1.2493,                 1.0467,                 1.8035,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.1221,                 1.2012,                 1.5819,                0.63902,                0.73177,                0.72202,                 0.4625,                 1.2488,                 1.0225,                 1.7817,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.1114,                  1.178,                 1.5771,                0.63082,                0.69063,                0.71299,                0.45427,                 1.2635,                0.99677,                 1.8017,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.1096,                 1.1682,                 1.5728,                0.69833,                0.62982,                0.72474,                0.46581,                 1.2552,                 1.0303,                 1.7943,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.1128,                 1.1643,                 1.5755,                0.61945,                 0.7269,                0.72698,                0.46565,                 1.2564,                 1.0434,                 1.8055,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.1178,                 1.1532,                  1.577,                0.64196,                0.65863,                0.71924,                0.45465,                 1.2671,                 1.0936,                 1.8314,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.1087,                 1.1303,                 1.5639,                0.62972,                0.67829,                0.71961,                0.45889,                 1.2791,                 1.0446,                 1.8342,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.0949,                 1.1436,                 1.5575,                  0.687,                0.66743,                 0.7312,                0.46185,                 1.2679,                0.96003,                  1.806,               0.000604,               0.000604,               0.000604
                     43,                  1.092,                  1.114,                 1.5677,                0.68323,                0.70715,                0.74669,                0.47511,                 1.2664,                  0.994,                 1.8157,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.0974,                 1.1296,                 1.5637,                0.64293,                0.69964,                0.74855,                0.48165,                 1.2406,                 1.0394,                 1.7829,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.0954,                 1.1043,                 1.5535,                0.72611,                0.63876,                0.75406,                0.48434,                 1.2488,                0.98326,                 1.8013,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.0915,                 1.0974,                 1.5577,                0.68772,                0.66382,                0.74408,                0.48163,                 1.2568,                 1.0623,                 1.7966,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.0894,                 1.0841,                 1.5494,                0.67572,                0.70543,                0.75673,                 0.4821,                 1.2678,                0.97408,                 1.8048,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.0811,                 1.0745,                  1.545,                0.71252,                0.65808,                0.75716,                0.48745,                 1.2423,                 1.0066,                  1.788,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.0749,                 1.0699,                 1.5378,                0.72414,                0.65692,                0.76522,                0.49063,                 1.2555,                0.93139,                 1.8046,              0.0005347,              0.0005347,              0.0005347
